Date: 2021-12-19T22:38:30.970722, Score: 300
Date: 2021-12-19T22:40:07.574371, Score: 0
Date: 2021-12-20T11:40:12.078517, Score: 30
Date: 2021-12-20T12:32:25.411777, Score: 0
Date: 2021-12-20T13:19:13.250773, Score: 0
Date: 2021-12-20T13:20:05.676723, Score: 50
Date: 2021-12-20T13:23:14.153149, Score: 10
Date: 2021-12-20T13:25:30.900055, Score: 0
Date: 2021-12-20T13:26:46.593978, Score: 20
Date: 2021-12-20T13:30:21.283912, Score: 0
Date: 2021-12-20T14:39:44.647691, Score: 170
Date: 2021-12-20T14:40:08.896017, Score: 0
Date: 2021-12-20T14:40:27.711407, Score: 0
Date: 2021-12-20T14:44:01.393571, Score: 40
Date: 2022-01-03T11:01:14.279852, Score: 540
Date: 2022-01-03T16:28:30.046808, Score: 240
Date: 2022-01-03T16:52:59.281103, Score: 40
Date: 2022-01-18T19:01:52.978137, Score: 480
Date: 2022-01-23T16:05:21.960784, Score: 120
